"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"result" 250 0 0.75 0.508375 0.498166666666667 0.49875 0.506708333333333 0.49525 0.503458333333333
"result" 250 0 0.75 0.50481981981982 0.50454954954955 0.499054054054054 0.497972972972973 0.496711711711712 0.487747747747748
"result" 250 0 0.75 0.503589743589744 0.503119658119658 0.500470085470085 0.502008547008547 0.491923076923077 0.508974358974359
"result" 250 0 0.75 0.510092592592593 0.506712962962963 0.504444444444444 0.49662037037037 0.502824074074074 0.50662037037037
"result" 250 0 0.75 0.499875 0.499875 0.499666666666667 0.508416666666667 0.502791666666667 0.504083333333333
"result" 250 0 0.75 0.51 0.5025 0.506798245614035 0.492017543859649 0.497938596491228 0.495394736842105
"result" 250 0 0.75 0.500438596491228 0.497675438596491 0.49530701754386 0.494122807017544 0.496271929824561 0.502368421052632
"result" 250 0 0.75 0.492074829931973 0.490918367346939 0.49921768707483 0.50547619047619 0.499659863945578 0.497823129251701
"result" 250 0 0.75 0.48991452991453 0.50017094017094 0.503547008547009 0.503205128205128 0.49474358974359 0.49474358974359
"result" 250 0 0.75 0.492719298245614 0.491578947368421 0.49469298245614 0.501008771929825 0.499254385964912 0.490570175438596
"result" 250 0 0.75 0.495683760683761 0.492478632478632 0.498076923076923 0.496025641025641 0.505641025641026 0.492264957264957
"result" 250 0 0.75 0.508018018018018 0.49554054054054 0.512162162162162 0.502477477477478 0.498873873873874 0.505855855855856
"result" 250 0 0.75 0.501581196581197 0.49534188034188 0.49491452991453 0.487179487179487 0.504102564102564 0.49991452991453
"result" 250 0 0.75 0.507061403508772 0.499254385964912 0.494736842105263 0.49640350877193 0.502719298245614 0.500394736842105
"result" 250 0 0.75 0.499761904761905 0.508888888888889 0.493650793650794 0.49952380952381 0.494047619047619 0.503492063492064
"result" 250 0 0.75 0.503333333333333 0.494583333333333 0.495958333333333 0.493666666666667 0.501541666666667 0.502708333333333
"result" 250 0 0.75 0.505975609756098 0.496707317073171 0.503780487804878 0.495040650406504 0.502113821138211 0.505
"result" 250 0 0.75 0.512674418604651 0.506201550387597 0.492093023255814 0.495658914728682 0.503720930232558 0.497519379844961
"result" 250 0 0.75 0.487125 0.506416666666667 0.501208333333333 0.491541666666667 0.495791666666667 0.49725
"result" 250 0 0.75 0.506125 0.502666666666667 0.4965 0.499791666666667 0.509041666666667 0.505291666666667
"result" 250 0 0.75 0.498730158730159 0.501666666666667 0.495714285714286 0.498452380952381 0.493650793650794 0.495357142857143
"result" 250 0 0.75 0.506706349206349 0.499404761904762 0.494960317460317 0.501706349206349 0.50765873015873 0.488095238095238
"result" 250 0 0.75 0.496708333333333 0.498875 0.50475 0.498791666666667 0.505583333333333 0.493708333333333
"result" 250 0 0.75 0.504316239316239 0.498931623931624 0.491752136752137 0.505299145299145 0.507051282051282 0.502905982905983
"result" 250 0 0.75 0.505189393939394 0.502840909090909 0.502575757575758 0.489734848484848 0.503598484848485 0.498143939393939
"result" 250 0 0.75 0.494529914529915 0.499615384615385 0.498418803418803 0.503290598290598 0.501794871794872 0.489145299145299
"result" 250 0 0.75 0.51219512195122 0.500365853658537 0.494918699186992 0.498048780487805 0.499227642276423 0.494186991869919
"result" 250 0 0.75 0.492555555555556 0.501555555555556 0.493481481481481 0.490074074074074 0.507555555555556 0.489111111111111
"result" 250 0 0.75 0.503452380952381 0.49484126984127 0.503095238095238 0.503174603174603 0.49234126984127 0.502222222222222
"result" 250 0 0.75 0.49797619047619 0.49718253968254 0.496746031746032 0.499365079365079 0.498849206349206 0.48718253968254
"result" 250 0 0.75 0.496507936507937 0.500952380952381 0.498650793650794 0.490912698412698 0.491944444444444 0.497936507936508
"result" 250 0 0.75 0.497984496124031 0.497635658914729 0.48937984496124 0.501085271317829 0.501240310077519 0.505968992248062
