"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 0.990909090909091 0.998484848484849 1 1 0.998484848484849
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 0.996428571428571 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 0.988709677419355 0.998387096774194 1 0.998387096774194 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 0.994117647058824 1 0.997058823529412
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 0.994117647058824 0.997058823529412 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 0.996428571428571
"result" 250 0.25 0.1 0.996428571428571 1 0.996428571428571 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 0.996428571428571
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 0.996428571428571 0.996428571428571 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 0.996428571428571 1 1 0.996428571428571 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
"result" 250 0.25 0.1 1 1 1 1 1 1
