"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"result" 250 0 0.25 0.491129032258065 0.511774193548387 0.498548387096774 0.505483870967742 0.50241935483871 0.505483870967742
"result" 250 0 0.25 0.50875 0.501145833333333 0.494479166666667 0.5009375 0.498229166666667 0.500729166666667
"result" 250 0 0.25 0.496634615384615 0.495769230769231 0.506634615384615 0.492884615384615 0.5 0.504519230769231
"result" 250 0 0.25 0.500263157894737 0.496929824561403 0.494298245614035 0.501140350877193 0.493771929824561 0.492543859649123
"result" 250 0 0.25 0.504468085106383 0.498510638297872 0.502340425531915 0.499574468085106 0.488617021276596 0.501170212765957
"result" 250 0 0.25 0.503979591836735 0.501734693877551 0.496122448979592 0.497448979591837 0.496632653061225 0.502448979591837
"result" 250 0 0.25 0.493461538461538 0.499615384615385 0.505673076923077 0.495 0.508557692307692 0.489326923076923
"result" 250 0 0.25 0.498207547169811 0.500566037735849 0.499150943396226 0.500094339622641 0.494150943396226 0.502452830188679
"result" 250 0 0.25 0.49968085106383 0.501489361702128 0.493297872340426 0.508191489361702 0.504787234042553 0.509787234042553
"result" 250 0 0.25 0.4975 0.502727272727273 0.496818181818182 0.498977272727273 0.491022727272727 0.500909090909091
"result" 250 0 0.25 0.495961538461538 0.494903846153846 0.49875 0.501442307692308 0.501826923076923 0.494615384615385
"result" 250 0 0.25 0.499897959183673 0.498979591836735 0.498163265306122 0.498979591836735 0.503367346938775 0.509081632653061
"result" 250 0 0.25 0.500555555555556 0.505555555555556 0.499111111111111 0.5 0.498666666666667 0.507111111111111
"result" 250 0 0.25 0.500714285714286 0.502678571428571 0.501339285714286 0.501339285714286 0.501964285714286 0.499821428571429
"result" 250 0 0.25 0.498461538461538 0.501634615384615 0.505673076923077 0.4925 0.495288461538462 0.496153846153846
"result" 250 0 0.25 0.501315789473684 0.496052631578947 0.498684210526316 0.49719298245614 0.496842105263158 0.511228070175439
"result" 250 0 0.25 0.496759259259259 0.502222222222222 0.518055555555556 0.503055555555556 0.503333333333333 0.497962962962963
"result" 250 0 0.25 0.503018867924528 0.503301886792453 0.502547169811321 0.503584905660377 0.506698113207547 0.501037735849057
"result" 250 0 0.25 0.5059 0.5035 0.5005 0.5042 0.4997 0.4967
"result" 250 0 0.25 0.4951 0.5002 0.501 0.4988 0.4984 0.4961
"result" 250 0 0.25 0.504907407407407 0.503148148148148 0.493333333333333 0.505555555555556 0.494351851851852 0.495740740740741
"result" 250 0 0.25 0.499298245614035 0.493859649122807 0.508421052631579 0.496754385964912 0.503859649122807 0.501315789473684
"result" 250 0 0.25 0.489528301886792 0.49311320754717 0.492358490566038 0.499433962264151 0.504905660377359 0.491415094339623
"result" 250 0 0.25 0.495982142857143 0.501428571428571 0.505535714285714 0.500535714285714 0.49375 0.501875
"result" 250 0 0.25 0.5 0.494322033898305 0.503474576271186 0.491610169491525 0.502881355932203 0.498728813559322
"result" 250 0 0.25 0.503725490196078 0.500098039215686 0.502352941176471 0.490882352941176 0.490196078431373 0.500294117647059
"result" 250 0 0.25 0.498425925925926 0.492777777777778 0.49212962962963 0.507962962962963 0.491666666666667 0.511111111111111
"result" 250 0 0.25 0.499347826086956 0.496521739130435 0.499565217391304 0.505434782608696 0.49695652173913 0.502065217391304
"result" 250 0 0.25 0.505 0.50156862745098 0.492352941176471 0.495392156862745 0.497549019607843 0.507156862745098
