"","dim","delta","ir","Comparison","Difference"
"110",10,0.25,1,"RW-CCCD",0.89825
"111",10,0.5,0.1,"RW-CCCD",0.961530612244898
"112",10,0.5,0.25,"RW-CCCD",0.995
"113",10,0.5,0.5,"RW-CCCD",0.9924
"114",10,0.5,0.75,"RW-CCCD",0.995555555555556
"115",10,0.5,1,"RW-CCCD",0.997666666666667
"116",10,0.75,0.1,"RW-CCCD",1
"117",10,0.75,0.25,"RW-CCCD",1
"118",10,0.75,0.5,"RW-CCCD",1
"119",10,0.75,0.75,"RW-CCCD",1
"120",10,0.75,1,"RW-CCCD",1
"121",10,1,0.1,"RW-CCCD",1
"122",10,1,0.25,"RW-CCCD",1
"123",10,1,0.5,"RW-CCCD",1
"124",10,1,0.75,"RW-CCCD",1
"125",10,1,1,"RW-CCCD",1
"126",2,0,0.1,"RW-CCCD",0.5005
"127",2,0,0.25,"RW-CCCD",0.5
"128",2,0,0.5,"RW-CCCD",0.5
"129",2,0,0.75,"RW-CCCD",0.5
"130",2,0,1,"RW-CCCD",0.5013
"131",2,0.25,0.1,"RW-CCCD",0.642925373134328
"132",2,0.25,0.25,"RW-CCCD",0.69516393442623
"133",2,0.25,0.5,"RW-CCCD",0.708689655172414
"134",2,0.25,0.75,"RW-CCCD",0.71814358974359
"135",2,0.25,1,"RW-CCCD",0.718945945945946
"136",2,0.5,0.1,"RW-CCCD",0.836301886792453
"137",2,0.5,0.25,"RW-CCCD",0.862669811320755
"138",2,0.5,0.5,"RW-CCCD",0.872752475247525
"139",2,0.5,0.75,"RW-CCCD",0.871133333333333
"140",2,0.5,1,"RW-CCCD",0.871214285714286
"141",2,0.75,0.1,"RW-CCCD",0.940666666666667
"142",2,0.75,0.25,"RW-CCCD",0.959363636363636
"143",2,0.75,0.5,"RW-CCCD",0.952723684210526
"144",2,0.75,0.75,"RW-CCCD",0.964518518518519
"145",2,0.75,1,"RW-CCCD",0.966833333333333
"146",2,1,0.1,"RW-CCCD",0.994
"147",2,1,0.25,"RW-CCCD",1
"148",2,1,0.5,"RW-CCCD",0.998
"149",2,1,0.75,"RW-CCCD",0.9995
"150",2,1,1,"RW-CCCD",0.999
"151",3,0,0.1,"RW-CCCD",0.5
"152",3,0,0.25,"RW-CCCD",0.5
"153",3,0,0.5,"RW-CCCD",0.5
"154",3,0,0.75,"RW-CCCD",0.500363636363636
"155",3,0,1,"RW-CCCD",0.501809523809524
"156",3,0.25,0.1,"RW-CCCD",0.667166666666667
"157",3,0.25,0.25,"RW-CCCD",0.719262295081967
"158",3,0.25,0.5,"RW-CCCD",0.760324324324324
"159",3,0.25,0.75,"RW-CCCD",0.779019607843137
"160",3,0.25,1,"RW-CCCD",0.776257142857143
"161",3,0.5,0.1,"RW-CCCD",0.883025862068965
"162",3,0.5,0.25,"RW-CCCD",0.921
"163",3,0.5,0.5,"RW-CCCD",0.927179487179487
"164",3,0.5,0.75,"RW-CCCD",0.932208333333333
"165",3,0.5,1,"RW-CCCD",0.931
"166",3,0.75,0.1,"RW-CCCD",0.967942307692308
"167",3,0.75,0.25,"RW-CCCD",0.979615384615385
"168",3,0.75,0.5,"RW-CCCD",0.9882
"169",3,0.75,0.75,"RW-CCCD",0.9908
"170",3,0.75,1,"RW-CCCD",0.9928
"171",3,1,0.1,"RW-CCCD",0.995
"172",3,1,0.25,"RW-CCCD",1
"173",3,1,0.5,"RW-CCCD",0.998
"174",3,1,0.75,"RW-CCCD",0.999333333333333
"175",3,1,1,"RW-CCCD",0.9995
"176",5,0,0.1,"RW-CCCD",0.5
"177",5,0,0.25,"RW-CCCD",0.5
"178",5,0,0.5,"RW-CCCD",0.503380952380952
"179",5,0,0.75,"RW-CCCD",0.5
"180",5,0,1,"RW-CCCD",0.5
"181",5,0.25,0.1,"RW-CCCD",0.721396551724138
"182",5,0.25,0.25,"RW-CCCD",0.7773
"183",5,0.25,0.5,"RW-CCCD",0.818746478873239
"184",5,0.25,0.75,"RW-CCCD",0.83108843537415
"185",5,0.25,1,"RW-CCCD",0.83525
"186",5,0.5,0.1,"RW-CCCD",0.941875
"187",5,0.5,0.25,"RW-CCCD",0.964142857142857
"188",5,0.5,0.5,"RW-CCCD",0.9673
"189",5,0.5,0.75,"RW-CCCD",0.975925925925926
"190",5,0.5,1,"RW-CCCD",0.974625
"191",5,0.75,0.1,"RW-CCCD",0.991214285714286
"192",5,0.75,0.25,"RW-CCCD",0.9965
"193",5,0.75,0.5,"RW-CCCD",0.996166666666667
"194",5,0.75,0.75,"RW-CCCD",0.998555555555556
"195",5,0.75,1,"RW-CCCD",0.998
"196",5,1,0.1,"RW-CCCD",0.99625
"197",5,1,0.25,"RW-CCCD",0.9984
"198",5,1,0.5,"RW-CCCD",0.999
"199",5,1,0.75,"RW-CCCD",1
"200",5,1,1,"RW-CCCD",1
"201",10,0,0.1,"ACDC1",0.50035
"202",10,0,0.25,"ACDC1",0.5
"203",10,0,0.5,"ACDC1",0.501266666666667
"204",10,0,0.75,"ACDC1",0.500862745098039
"205",10,0,1,"ACDC1",0.5
"206",10,0.25,0.1,"ACDC1",0.614147058823529
"207",10,0.25,0.25,"ACDC1",0.730379746835443
"208",10,0.25,0.5,"ACDC1",0.836958333333333
"209",10,0.25,0.75,"ACDC1",0.872141025641026
"210",10,0.25,1,"ACDC1",0.87995
"211",10,0.5,0.1,"ACDC1",0.968265306122449
"212",10,0.5,0.25,"ACDC1",0.997375
"213",10,0.5,0.5,"ACDC1",0.9936
"214",10,0.5,0.75,"ACDC1",0.996888888888889
"215",10,0.5,1,"ACDC1",0.996333333333333
"216",10,0.75,0.1,"ACDC1",1
"217",10,0.75,0.25,"ACDC1",1
"218",10,0.75,0.5,"ACDC1",1
"219",10,0.75,0.75,"ACDC1",1
"220",10,0.75,1,"ACDC1",1
"221",10,1,0.1,"ACDC1",1
"222",10,1,0.25,"ACDC1",1
"223",10,1,0.5,"ACDC1",1
"224",10,1,0.75,"ACDC1",1
"225",10,1,1,"ACDC1",1
"226",2,0,0.1,"ACDC1",0.500916666666667
"227",2,0,0.25,"ACDC1",0.5003125
"228",2,0,0.5,"ACDC1",0.5
"229",2,0,0.75,"ACDC1",0.500766666666667
"230",2,0,1,"ACDC1",0.50335
"231",2,0.25,0.1,"ACDC1",0.500671641791045
"232",2,0.25,0.25,"ACDC1",0.50116393442623
"233",2,0.25,0.5,"ACDC1",0.529103448275862
"234",2,0.25,0.75,"ACDC1",0.621466666666667
"235",2,0.25,1,"ACDC1",0.690648648648649
"236",2,0.5,0.1,"ACDC1",0.507603773584906
"237",2,0.5,0.25,"ACDC1",0.608896226415094
"238",2,0.5,0.5,"ACDC1",0.74849504950495
"239",2,0.5,0.75,"ACDC1",0.861933333333333
"240",2,0.5,1,"ACDC1",0.867357142857143
"241",2,0.75,0.1,"ACDC1",0.733073333333333
"242",2,0.75,0.25,"ACDC1",0.881469696969697
"243",2,0.75,0.5,"ACDC1",0.954302631578947
"244",2,0.75,0.75,"ACDC1",0.964703703703704
"245",2,0.75,1,"ACDC1",0.965
"246",2,1,0.1,"ACDC1",0.997
"247",2,1,0.25,"ACDC1",1
"248",2,1,0.5,"ACDC1",1
"249",2,1,0.75,"ACDC1",1
"250",2,1,1,"ACDC1",1
"251",3,0,0.1,"ACDC1",0.500947368421053
"252",3,0,0.25,"ACDC1",0.500291666666667
"253",3,0,0.5,"ACDC1",0.5
"254",3,0,0.75,"ACDC1",0.5
"255",3,0,1,"ACDC1",0.5
"256",3,0.25,0.1,"ACDC1",0.50415
"257",3,0.25,0.25,"ACDC1",0.509065573770492
"258",3,0.25,0.5,"ACDC1",0.59645945945946
"259",3,0.25,0.75,"ACDC1",0.680156862745098
"260",3,0.25,1,"ACDC1",0.722057142857143
"261",3,0.5,0.1,"ACDC1",0.64423275862069
"262",3,0.5,0.25,"ACDC1",0.795954545454545
"263",3,0.5,0.5,"ACDC1",0.88
"264",3,0.5,0.75,"ACDC1",0.920875
"265",3,0.5,1,"ACDC1",0.9207
"266",3,0.75,0.1,"ACDC1",0.944730769230769
"267",3,0.75,0.25,"ACDC1",0.982153846153846
"268",3,0.75,0.5,"ACDC1",0.99
"269",3,0.75,0.75,"ACDC1",0.987933333333333
"270",3,0.75,1,"ACDC1",0.9928
"271",3,1,0.1,"ACDC1",1
"272",3,1,0.25,"ACDC1",1
"273",3,1,0.5,"ACDC1",1
"274",3,1,0.75,"ACDC1",1
"275",3,1,1,"ACDC1",1
"276",5,0,0.1,"ACDC1",0.5
"277",5,0,0.25,"ACDC1",0.50095
"278",5,0,0.5,"ACDC1",0.5
"279",5,0,0.75,"ACDC1",0.5
"280",5,0,1,"ACDC1",0.501333333333333
"281",5,0.25,0.1,"ACDC1",0.515637931034483
"282",5,0.25,0.25,"ACDC1",0.5728
"283",5,0.25,0.5,"ACDC1",0.706943661971831
"284",5,0.25,0.75,"ACDC1",0.768748299319728
"285",5,0.25,1,"ACDC1",0.800714285714286
"286",5,0.5,0.1,"ACDC1",0.849328125
"287",5,0.5,0.25,"ACDC1",0.926595238095238
"288",5,0.5,0.5,"ACDC1",0.966
"289",5,0.5,0.75,"ACDC1",0.968296296296296
"290",5,0.5,1,"ACDC1",0.97175
"291",5,0.75,0.1,"ACDC1",0.994142857142857
"292",5,0.75,0.25,"ACDC1",0.995666666666667
"293",5,0.75,0.5,"ACDC1",0.997
"294",5,0.75,0.75,"ACDC1",0.998222222222222
"295",5,0.75,1,"ACDC1",0.9975
"296",5,1,0.1,"ACDC1",1
"297",5,1,0.25,"ACDC1",1
"298",5,1,0.5,"ACDC1",1
"299",5,1,0.75,"ACDC1",1
"300",5,1,1,"ACDC1",1
"301",10,0,0.1,"ACDC2",0.5
"302",10,0,0.25,"ACDC2",0.500555555555556
"303",10,0,0.5,"ACDC2",0.503466666666667
"304",10,0,0.75,"ACDC2",0.501509803921569
"305",10,0,1,"ACDC2",0.5
"306",10,0.25,0.1,"ACDC2",0.669470588235294
"307",10,0.25,0.25,"ACDC2",0.78879746835443
"308",10,0.25,0.5,"ACDC2",0.8731875
"309",10,0.25,0.75,"ACDC2",0.886602564102564
"310",10,0.25,1,"ACDC2",0.8903
"311",10,0.5,0.1,"ACDC2",0.978040816326531
"312",10,0.5,0.25,"ACDC2",0.997
"313",10,0.5,0.5,"ACDC2",0.994
"314",10,0.5,0.75,"ACDC2",0.996111111111111
"315",10,0.5,1,"ACDC2",0.996333333333333
"316",10,0.75,0.1,"ACDC2",1
"317",10,0.75,0.25,"ACDC2",1
"318",10,0.75,0.5,"ACDC2",1
"319",10,0.75,0.75,"ACDC2",1
"320",10,0.75,1,"ACDC2",1
"321",10,1,0.1,"ACDC2",1
"322",10,1,0.25,"ACDC2",1
"323",10,1,0.5,"ACDC2",1
"324",10,1,0.75,"ACDC2",1
"325",10,1,1,"ACDC2",1
"326",2,0,0.1,"ACDC2",0.5
"327",2,0,0.25,"ACDC2",0.5
"328",2,0,0.5,"ACDC2",0.5
