"","dim","delta","ir","Comparison","Difference"
"558",3,0.25,0.5,"ACDC4",0.740256756756757
"559",3,0.25,0.75,"ACDC4",0.762882352941176
"560",3,0.25,1,"ACDC4",0.760428571428571
"561",3,0.5,0.1,"ACDC4",0.87148275862069
"562",3,0.5,0.25,"ACDC4",0.916204545454545
"563",3,0.5,0.5,"ACDC4",0.925871794871795
"564",3,0.5,0.75,"ACDC4",0.931104166666667
"565",3,0.5,1,"ACDC4",0.933
"566",3,0.75,0.1,"ACDC4",0.981596153846154
"567",3,0.75,0.25,"ACDC4",0.985461538461538
"568",3,0.75,0.5,"ACDC4",0.9906
"569",3,0.75,0.75,"ACDC4",0.991133333333333
"570",3,0.75,1,"ACDC4",0.9906
"571",3,1,0.1,"ACDC4",1
"572",3,1,0.25,"ACDC4",1
"573",3,1,0.5,"ACDC4",1
"574",3,1,0.75,"ACDC4",1
"575",3,1,1,"ACDC4",1
"576",5,0,0.1,"ACDC4",0.500470588235294
"577",5,0,0.25,"ACDC4",0.5
"578",5,0,0.5,"ACDC4",0.501428571428571
"579",5,0,0.75,"ACDC4",0.5
"580",5,0,1,"ACDC4",0.504833333333333
"581",5,0.25,0.1,"ACDC4",0.597862068965517
"582",5,0.25,0.25,"ACDC4",0.731057142857143
"583",5,0.25,0.5,"ACDC4",0.797591549295775
"584",5,0.25,0.75,"ACDC4",0.817761904761905
"585",5,0.25,1,"ACDC4",0.823285714285714
"586",5,0.5,0.1,"ACDC4",0.93790625
"587",5,0.5,0.25,"ACDC4",0.96397619047619
"588",5,0.5,0.5,"ACDC4",0.9704
"589",5,0.5,0.75,"ACDC4",0.974703703703704
"590",5,0.5,1,"ACDC4",0.97525
"591",5,0.75,0.1,"ACDC4",0.993357142857143
"592",5,0.75,0.25,"ACDC4",0.998333333333333
"593",5,0.75,0.5,"ACDC4",0.998666666666667
"594",5,0.75,0.75,"ACDC4",0.997777777777778
"595",5,0.75,1,"ACDC4",0.998
"596",5,1,0.1,"ACDC4",1
"597",5,1,0.25,"ACDC4",1
"598",5,1,0.5,"ACDC4",1
"599",5,1,0.75,"ACDC4",1
"600",5,1,1,"ACDC4",1
"601",10,0,0.1,"ACDC5",0.5
"602",10,0,0.25,"ACDC5",0.501055555555556
"603",10,0,0.5,"ACDC5",0.5
"604",10,0,0.75,"ACDC5",0.5
"605",10,0,1,"ACDC5",0.5
"606",10,0.25,0.1,"ACDC5",0.711602941176471
"607",10,0.25,0.25,"ACDC5",0.819759493670886
"608",10,0.25,0.5,"ACDC5",0.879958333333333
"609",10,0.25,0.75,"ACDC5",0.898269230769231
"610",10,0.25,1,"ACDC5",0.89845
"611",10,0.5,0.1,"ACDC5",0.984122448979592
"612",10,0.5,0.25,"ACDC5",0.99575
"613",10,0.5,0.5,"ACDC5",0.9954
"614",10,0.5,0.75,"ACDC5",0.996222222222222
"615",10,0.5,1,"ACDC5",0.996333333333333
"616",10,0.75,0.1,"ACDC5",1
"617",10,0.75,0.25,"ACDC5",1
"618",10,0.75,0.5,"ACDC5",1
"619",10,0.75,0.75,"ACDC5",1
"620",10,0.75,1,"ACDC5",1
"621",10,1,0.1,"ACDC5",1
"622",10,1,0.25,"ACDC5",1
"623",10,1,0.5,"ACDC5",1
"624",10,1,0.75,"ACDC5",1
"625",10,1,1,"ACDC5",1
"626",2,0,0.1,"ACDC5",0.500208333333333
"627",2,0,0.25,"ACDC5",0.5
"628",2,0,0.5,"ACDC5",0.5
"629",2,0,0.75,"ACDC5",0.5
"630",2,0,1,"ACDC5",0.50305
"631",2,0.25,0.1,"ACDC5",0.574940298507463
"632",2,0.25,0.25,"ACDC5",0.622950819672131
"633",2,0.25,0.5,"ACDC5",0.682603448275862
"634",2,0.25,0.75,"ACDC5",0.709497435897436
"635",2,0.25,1,"ACDC5",0.717378378378378
"636",2,0.5,0.1,"ACDC5",0.816471698113208
"637",2,0.5,0.25,"ACDC5",0.857669811320755
"638",2,0.5,0.5,"ACDC5",0.873168316831683
"639",2,0.5,0.75,"ACDC5",0.871733333333333
"640",2,0.5,1,"ACDC5",0.872714285714286
"641",2,0.75,0.1,"ACDC5",0.956313333333333
"642",2,0.75,0.25,"ACDC5",0.96310606060606
"643",2,0.75,0.5,"ACDC5",0.965828947368421
"644",2,0.75,0.75,"ACDC5",0.963703703703704
"645",2,0.75,1,"ACDC5",0.967333333333333
"646",2,1,0.1,"ACDC5",0.997
"647",2,1,0.25,"ACDC5",1
"648",2,1,0.5,"ACDC5",1
"649",2,1,0.75,"ACDC5",1
"650",2,1,1,"ACDC5",1
"651",3,0,0.1,"ACDC5",0.5
"652",3,0,0.25,"ACDC5",0.500541666666667
"653",3,0,0.5,"ACDC5",0.500454545454545
"654",3,0,0.75,"ACDC5",0.502242424242424
"655",3,0,1,"ACDC5",0.505047619047619
"656",3,0.25,0.1,"ACDC5",0.5746
"657",3,0.25,0.25,"ACDC5",0.689639344262295
"658",3,0.25,0.5,"ACDC5",0.744594594594595
"659",3,0.25,0.75,"ACDC5",0.762480392156863
"660",3,0.25,1,"ACDC5",0.757485714285714
"661",3,0.5,0.1,"ACDC5",0.889844827586207
"662",3,0.5,0.25,"ACDC5",0.919125
"663",3,0.5,0.5,"ACDC5",0.927564102564102
"664",3,0.5,0.75,"ACDC5",0.932020833333333
"665",3,0.5,1,"ACDC5",0.9292
"666",3,0.75,0.1,"ACDC5",0.983788461538462
"667",3,0.75,0.25,"ACDC5",0.986846153846154
"668",3,0.75,0.5,"ACDC5",0.9902
"669",3,0.75,0.75,"ACDC5",0.9898
"670",3,0.75,1,"ACDC5",0.9912
"671",3,1,0.1,"ACDC5",1
"672",3,1,0.25,"ACDC5",1
"673",3,1,0.5,"ACDC5",1
"674",3,1,0.75,"ACDC5",1
"675",3,1,1,"ACDC5",1
"676",5,0,0.1,"ACDC5",0.5
"677",5,0,0.25,"ACDC5",0.5
"678",5,0,0.5,"ACDC5",0.5
"679",5,0,0.75,"ACDC5",0.503647058823529
"680",5,0,1,"ACDC5",0.501555555555556
"681",5,0.25,0.1,"ACDC5",0.618172413793103
"682",5,0.25,0.25,"ACDC5",0.733642857142857
"683",5,0.25,0.5,"ACDC5",0.803323943661972
"684",5,0.25,0.75,"ACDC5",0.81965306122449
"685",5,0.25,1,"ACDC5",0.828178571428571
"686",5,0.5,0.1,"ACDC5",0.941484375
"687",5,0.5,0.25,"ACDC5",0.965428571428571
"688",5,0.5,0.5,"ACDC5",0.9701
"689",5,0.5,0.75,"ACDC5",0.975333333333333
"690",5,0.5,1,"ACDC5",0.975375
"691",5,0.75,0.1,"ACDC5",0.994071428571429
"692",5,0.75,0.25,"ACDC5",0.998333333333333
"693",5,0.75,0.5,"ACDC5",0.999166666666667
"694",5,0.75,0.75,"ACDC5",0.997888888888889
"695",5,0.75,1,"ACDC5",0.999
"696",5,1,0.1,"ACDC5",1
"697",5,1,0.25,"ACDC5",1
"698",5,1,0.5,"ACDC5",1
"699",5,1,0.75,"ACDC5",1
"700",5,1,1,"ACDC5",1
"701",10,0,0.1,"P-CCCD_minus_ACDC1",0.005
"702",10,0,0.25,"P-CCCD_minus_ACDC1",0.004
"703",10,0,0.5,"P-CCCD_minus_ACDC1",0.00113333333333299
"704",10,0,0.75,"P-CCCD_minus_ACDC1",-0.000862745098038964
"705",10,0,1,"P-CCCD_minus_ACDC1",0
"706",10,0.25,0.1,"P-CCCD_minus_ACDC1",0.165117647058824
"707",10,0.25,0.25,"P-CCCD_minus_ACDC1",0.114898734177215
"708",10,0.25,0.5,"P-CCCD_minus_ACDC1",0.0387291666666669
"709",10,0.25,0.75,"P-CCCD_minus_ACDC1",0.00943589743589701
"710",10,0.25,1,"P-CCCD_minus_ACDC1",0.00480000000000003
"711",10,0.5,0.1,"P-CCCD_minus_ACDC1",0.020897959183673
"712",10,0.5,0.25,"P-CCCD_minus_ACDC1",-0.00237500000000002
"713",10,0.5,0.5,"P-CCCD_minus_ACDC1",0.002
"714",10,0.5,0.75,"P-CCCD_minus_ACDC1",-0.00088888888888905
"715",10,0.5,1,"P-CCCD_minus_ACDC1",-0.000666666666665927
"716",10,0.75,0.1,"P-CCCD_minus_ACDC1",0
"717",10,0.75,0.25,"P-CCCD_minus_ACDC1",0
"718",10,0.75,0.5,"P-CCCD_minus_ACDC1",0
"719",10,0.75,0.75,"P-CCCD_minus_ACDC1",0
"720",10,0.75,1,"P-CCCD_minus_ACDC1",0
"721",10,1,0.1,"P-CCCD_minus_ACDC1",0
"722",10,1,0.25,"P-CCCD_minus_ACDC1",0
"723",10,1,0.5,"P-CCCD_minus_ACDC1",0
"724",10,1,0.75,"P-CCCD_minus_ACDC1",0
"725",10,1,1,"P-CCCD_minus_ACDC1",0
"726",2,0,0.1,"P-CCCD_minus_ACDC1",0.00366666666666604
"727",2,0,0.25,"P-CCCD_minus_ACDC1",-0.000312500000000049
"728",2,0,0.5,"P-CCCD_minus_ACDC1",0
"729",2,0,0.75,"P-CCCD_minus_ACDC1",-0.000766666666667026
"730",2,0,1,"P-CCCD_minus_ACDC1",-0.00334999999999996
"731",2,0.25,0.1,"P-CCCD_minus_ACDC1",0.19744776119403
"732",2,0.25,0.25,"P-CCCD_minus_ACDC1",0.202
"733",2,0.25,0.5,"P-CCCD_minus_ACDC1",0.178620689655173
"734",2,0.25,0.75,"P-CCCD_minus_ACDC1",0.0933128205128201
"735",2,0.25,1,"P-CCCD_minus_ACDC1",0.024135135135135
"736",2,0.5,0.1,"P-CCCD_minus_ACDC1",0.34811320754717
"737",2,0.5,0.25,"P-CCCD_minus_ACDC1",0.257547169811321
"738",2,0.5,0.5,"P-CCCD_minus_ACDC1",0.12210891089109
"739",2,0.5,0.75,"P-CCCD_minus_ACDC1",0.00453333333333406
"740",2,0.5,1,"P-CCCD_minus_ACDC1",0.000214285714285944
"741",2,0.75,0.1,"P-CCCD_minus_ACDC1",0.2257
"742",2,0.75,0.25,"P-CCCD_minus_ACDC1",0.081515151515151
"743",2,0.75,0.5,"P-CCCD_minus_ACDC1",0.010776315789474
"744",2,0.75,0.75,"P-CCCD_minus_ACDC1",-0.00129629629629691
"745",2,0.75,1,"P-CCCD_minus_ACDC1",0.00250000000000006
"746",2,1,0.1,"P-CCCD_minus_ACDC1",0
"747",2,1,0.25,"P-CCCD_minus_ACDC1",0
"748",2,1,0.5,"P-CCCD_minus_ACDC1",0
"749",2,1,0.75,"P-CCCD_minus_ACDC1",0
"750",2,1,1,"P-CCCD_minus_ACDC1",0
"751",3,0,0.1,"P-CCCD_minus_ACDC1",-0.00094736842105303
"752",3,0,0.25,"P-CCCD_minus_ACDC1",-0.000291666666667023
"753",3,0,0.5,"P-CCCD_minus_ACDC1",0.000227272727272965
"754",3,0,0.75,"P-CCCD_minus_ACDC1",0
"755",3,0,1,"P-CCCD_minus_ACDC1",0.001428571428571
"756",3,0.25,0.1,"P-CCCD_minus_ACDC1",0.208983333333333
"757",3,0.25,0.25,"P-CCCD_minus_ACDC1",0.243704918032787
"758",3,0.25,0.5,"P-CCCD_minus_ACDC1",0.172013513513513
"759",3,0.25,0.75,"P-CCCD_minus_ACDC1",0.090558823529412
"760",3,0.25,1,"P-CCCD_minus_ACDC1",0.048971428571428
"761",3,0.5,0.1,"P-CCCD_minus_ACDC1",0.266051724137931
"762",3,0.5,0.25,"P-CCCD_minus_ACDC1",0.129852272727273
"763",3,0.5,0.5,"P-CCCD_minus_ACDC1",0.048794871794872
"764",3,0.5,0.75,"P-CCCD_minus_ACDC1",0.00910416666666702
"765",3,0.5,1,"P-CCCD_minus_ACDC1",0.00730000000000008
"766",3,0.75,0.1,"P-CCCD_minus_ACDC1",0.037230769230769
"767",3,0.75,0.25,"P-CCCD_minus_ACDC1",0.000615384615384906
"768",3,0.75,0.5,"P-CCCD_minus_ACDC1",-0.000199999999999978
"769",3,0.75,0.75,"P-CCCD_minus_ACDC1",0.00206666666666699
"770",3,0.75,1,"P-CCCD_minus_ACDC1",-0.002
"771",3,1,0.1,"P-CCCD_minus_ACDC1",0
"772",3,1,0.25,"P-CCCD_minus_ACDC1",0
"773",3,1,0.5,"P-CCCD_minus_ACDC1",-0.000333333333332964
"774",3,1,0.75,"P-CCCD_minus_ACDC1",0
"775",3,1,1,"P-CCCD_minus_ACDC1",0
"776",5,0,0.1,"P-CCCD_minus_ACDC1",0
"777",5,0,0.25,"P-CCCD_minus_ACDC1",-0.000950000000000006
"778",5,0,0.5,"P-CCCD_minus_ACDC1",0
"779",5,0,0.75,"P-CCCD_minus_ACDC1",0
"780",5,0,1,"P-CCCD_minus_ACDC1",-0.00133333333333296
"781",5,0.25,0.1,"P-CCCD_minus_ACDC1",0.191431034482758
"782",5,0.25,0.25,"P-CCCD_minus_ACDC1",0.213885714285714
"783",5,0.25,0.5,"P-CCCD_minus_ACDC1",0.113267605633803
"784",5,0.25,0.75,"P-CCCD_minus_ACDC1",0.066224489795918
"785",5,0.25,1,"P-CCCD_minus_ACDC1",0.038607142857143
"786",5,0.5,0.1,"P-CCCD_minus_ACDC1",0.100609375
"787",5,0.5,0.25,"P-CCCD_minus_ACDC1",0.0395476190476189
"788",5,0.5,0.5,"P-CCCD_minus_ACDC1",0.00430000000000008
"789",5,0.5,0.75,"P-CCCD_minus_ACDC1",0.00540740740740797
"790",5,0.5,1,"P-CCCD_minus_ACDC1",0.00562499999999999
"791",5,0.75,0.1,"P-CCCD_minus_ACDC1",-0.002285714285714
"792",5,0.75,0.25,"P-CCCD_minus_ACDC1",0.00133333333333296
"793",5,0.75,0.5,"P-CCCD_minus_ACDC1",0.00150000000000006
"794",5,0.75,0.75,"P-CCCD_minus_ACDC1",0
"795",5,0.75,1,"P-CCCD_minus_ACDC1",0.000749999999999917
"796",5,1,0.1,"P-CCCD_minus_ACDC1",0
"797",5,1,0.25,"P-CCCD_minus_ACDC1",0
"798",5,1,0.5,"P-CCCD_minus_ACDC1",0
"799",5,1,0.75,"P-CCCD_minus_ACDC1",0
"800",5,1,1,"P-CCCD_minus_ACDC1",0
"801",10,0,0.1,"P-CCCD_minus_ACDC2",0.00534999999999997
"802",10,0,0.25,"P-CCCD_minus_ACDC2",0.00344444444444403
"803",10,0,0.5,"P-CCCD_minus_ACDC2",-0.00106666666666699
"804",10,0,0.75,"P-CCCD_minus_ACDC2",-0.00150980392156896
"805",10,0,1,"P-CCCD_minus_ACDC2",0
"806",10,0.25,0.1,"P-CCCD_minus_ACDC2",0.109794117647059
"807",10,0.25,0.25,"P-CCCD_minus_ACDC2",0.056481012658228
"808",10,0.25,0.5,"P-CCCD_minus_ACDC2",0.00249999999999995
"809",10,0.25,0.75,"P-CCCD_minus_ACDC2",-0.00502564102564096
"810",10,0.25,1,"P-CCCD_minus_ACDC2",-0.00554999999999994
"811",10,0.5,0.1,"P-CCCD_minus_ACDC2",0.011122448979591
"812",10,0.5,0.25,"P-CCCD_minus_ACDC2",-0.002
"813",10,0.5,0.5,"P-CCCD_minus_ACDC2",0.00160000000000005
"814",10,0.5,0.75,"P-CCCD_minus_ACDC2",-0.000111111111110951
"815",10,0.5,1,"P-CCCD_minus_ACDC2",-0.000666666666665927
"816",10,0.75,0.1,"P-CCCD_minus_ACDC2",0
"817",10,0.75,0.25,"P-CCCD_minus_ACDC2",0
"818",10,0.75,0.5,"P-CCCD_minus_ACDC2",0
"819",10,0.75,0.75,"P-CCCD_minus_ACDC2",0
"820",10,0.75,1,"P-CCCD_minus_ACDC2",0
"821",10,1,0.1,"P-CCCD_minus_ACDC2",0
"822",10,1,0.25,"P-CCCD_minus_ACDC2",0
"823",10,1,0.5,"P-CCCD_minus_ACDC2",0
"824",10,1,0.75,"P-CCCD_minus_ACDC2",0
"825",10,1,1,"P-CCCD_minus_ACDC2",0
"826",2,0,0.1,"P-CCCD_minus_ACDC2",0.00458333333333305
"827",2,0,0.25,"P-CCCD_minus_ACDC2",0
"828",2,0,0.5,"P-CCCD_minus_ACDC2",0
"829",2,0,0.75,"P-CCCD_minus_ACDC2",-0.00121666666666698
"830",2,0,1,"P-CCCD_minus_ACDC2",0
"831",2,0.25,0.1,"P-CCCD_minus_ACDC2",0.192373134328359
"832",2,0.25,0.25,"P-CCCD_minus_ACDC2",0.184524590163935
"833",2,0.25,0.5,"P-CCCD_minus_ACDC2",0.121137931034483
"834",2,0.25,0.75,"P-CCCD_minus_ACDC2",0.0545589743589741
"835",2,0.25,1,"P-CCCD_minus_ACDC2",0.0139729729729731
"836",2,0.5,0.1,"P-CCCD_minus_ACDC2",0.242698113207548
"837",2,0.5,0.25,"P-CCCD_minus_ACDC2",0.129962264150943
"838",2,0.5,0.5,"P-CCCD_minus_ACDC2",0.0244851485148521
"839",2,0.5,0.75,"P-CCCD_minus_ACDC2",0.00337777777777803
"840",2,0.5,1,"P-CCCD_minus_ACDC2",-0.00550000000000006
"841",2,0.75,0.1,"P-CCCD_minus_ACDC2",0.0542400000000001
"842",2,0.75,0.25,"P-CCCD_minus_ACDC2",0.013045454545454
"843",2,0.75,0.5,"P-CCCD_minus_ACDC2",0.00292105263157905
"844",2,0.75,0.75,"P-CCCD_minus_ACDC2",-0.00225925925925996
"845",2,0.75,1,"P-CCCD_minus_ACDC2",0.00233333333333308
"846",2,1,0.1,"P-CCCD_minus_ACDC2",-0.001
"847",2,1,0.25,"P-CCCD_minus_ACDC2",0
"848",2,1,0.5,"P-CCCD_minus_ACDC2",0
"849",2,1,0.75,"P-CCCD_minus_ACDC2",0
"850",2,1,1,"P-CCCD_minus_ACDC2",0
"851",3,0,0.1,"P-CCCD_minus_ACDC2",0
"852",3,0,0.25,"P-CCCD_minus_ACDC2",0
"853",3,0,0.5,"P-CCCD_minus_ACDC2",0.000227272727272965
"854",3,0,0.75,"P-CCCD_minus_ACDC2",-0.000590909090908975
"855",3,0,1,"P-CCCD_minus_ACDC2",0.000761904761903964
"856",3,0.25,0.1,"P-CCCD_minus_ACDC2",0.199916666666666
"857",3,0.25,0.25,"P-CCCD_minus_ACDC2",0.177868852459017
"858",3,0.25,0.5,"P-CCCD_minus_ACDC2",0.092810810810811
"859",3,0.25,0.75,"P-CCCD_minus_ACDC2",0.036093137254902
"860",3,0.25,1,"P-CCCD_minus_ACDC2",0.0264285714285709
"861",3,0.5,0.1,"P-CCCD_minus_ACDC2",0.109646551724138
"862",3,0.5,0.25,"P-CCCD_minus_ACDC2",0.0440227272727269
"863",3,0.5,0.5,"P-CCCD_minus_ACDC2",0.011307692307693
"864",3,0.5,0.75,"P-CCCD_minus_ACDC2",0.00110416666666702
"865",3,0.5,1,"P-CCCD_minus_ACDC2",-0.00179999999999991
"866",3,0.75,0.1,"P-CCCD_minus_ACDC2",0.007346153846153
"867",3,0.75,0.25,"P-CCCD_minus_ACDC2",-0.00015384615384606
"868",3,0.75,0.5,"P-CCCD_minus_ACDC2",0.000600000000000045
"869",3,0.75,0.75,"P-CCCD_minus_ACDC2",0.00073333333333303
"870",3,0.75,1,"P-CCCD_minus_ACDC2",-0.001
"871",3,1,0.1,"P-CCCD_minus_ACDC2",0
"872",3,1,0.25,"P-CCCD_minus_ACDC2",0
"873",3,1,0.5,"P-CCCD_minus_ACDC2",-0.000333333333332964
"874",3,1,0.75,"P-CCCD_minus_ACDC2",0
"875",3,1,1,"P-CCCD_minus_ACDC2",0
"876",5,0,0.1,"P-CCCD_minus_ACDC2",0
"877",5,0,0.25,"P-CCCD_minus_ACDC2",-9.9999999999989e-05
"878",5,0,0.5,"P-CCCD_minus_ACDC2",0
"879",5,0,0.75,"P-CCCD_minus_ACDC2",-0.00115686274509796
"880",5,0,1,"P-CCCD_minus_ACDC2",-0.00616666666666699
"881",5,0.25,0.1,"P-CCCD_minus_ACDC2",0.145344827586207
"882",5,0.25,0.25,"P-CCCD_minus_ACDC2",0.1146
"883",5,0.25,0.5,"P-CCCD_minus_ACDC2",0.057112676056338
"884",5,0.25,0.75,"P-CCCD_minus_ACDC2",0.031
"885",5,0.25,1,"P-CCCD_minus_ACDC2",0.024321428571429
"886",5,0.5,0.1,"P-CCCD_minus_ACDC2",0.035484375
"887",5,0.5,0.25,"P-CCCD_minus_ACDC2",0.00978571428571395
"888",5,0.5,0.5,"P-CCCD_minus_ACDC2",0.00340000000000007
"889",5,0.5,0.75,"P-CCCD_minus_ACDC2",0.00107407407407401
"890",5,0.5,1,"P-CCCD_minus_ACDC2",0.006
"891",5,0.75,0.1,"P-CCCD_minus_ACDC2",-0.000928571428571057
"892",5,0.75,0.25,"P-CCCD_minus_ACDC2",0.000666666666667037
"893",5,0.75,0.5,"P-CCCD_minus_ACDC2",-0.000833333333332908
"894",5,0.75,0.75,"P-CCCD_minus_ACDC2",0.000333333333332964
"895",5,0.75,1,"P-CCCD_minus_ACDC2",0
"896",5,1,0.1,"P-CCCD_minus_ACDC2",0
"897",5,1,0.25,"P-CCCD_minus_ACDC2",0
"898",5,1,0.5,"P-CCCD_minus_ACDC2",0
"899",5,1,0.75,"P-CCCD_minus_ACDC2",0
"900",5,1,1,"P-CCCD_minus_ACDC2",0
"901",10,0,0.1,"P-CCCD_minus_ACDC3",0.00534999999999997
"902",10,0,0.25,"P-CCCD_minus_ACDC3",0.004
"903",10,0,0.5,"P-CCCD_minus_ACDC3",0.000666666666666926
"904",10,0,0.75,"P-CCCD_minus_ACDC3",-0.005058823529412
"905",10,0,1,"P-CCCD_minus_ACDC3",-0.001294117647059
"906",10,0.25,0.1,"P-CCCD_minus_ACDC3",0.094588235294118
"907",10,0.25,0.25,"P-CCCD_minus_ACDC3",0.035493670886076
"908",10,0.25,0.5,"P-CCCD_minus_ACDC3",-0.00047916666666703
"909",10,0.25,0.75,"P-CCCD_minus_ACDC3",-0.011679487179487
"910",10,0.25,1,"P-CCCD_minus_ACDC3",-0.0081
"911",10,0.5,0.1,"P-CCCD_minus_ACDC3",0.00631632653061198
"912",10,0.5,0.25,"P-CCCD_minus_ACDC3",-0.00187499999999996
"913",10,0.5,0.5,"P-CCCD_minus_ACDC3",-0.00119999999999998
"914",10,0.5,0.75,"P-CCCD_minus_ACDC3",-0.000222222222222013
"915",10,0.5,1,"P-CCCD_minus_ACDC3",-0.000333333333332964
"916",10,0.75,0.1,"P-CCCD_minus_ACDC3",0
"917",10,0.75,0.25,"P-CCCD_minus_ACDC3",0
"918",10,0.75,0.5,"P-CCCD_minus_ACDC3",0
"919",10,0.75,0.75,"P-CCCD_minus_ACDC3",0
"920",10,0.75,1,"P-CCCD_minus_ACDC3",0
"921",10,1,0.1,"P-CCCD_minus_ACDC3",0
"922",10,1,0.25,"P-CCCD_minus_ACDC3",0
"923",10,1,0.5,"P-CCCD_minus_ACDC3",0
"924",10,1,0.75,"P-CCCD_minus_ACDC3",0
"925",10,1,1,"P-CCCD_minus_ACDC3",0
"926",2,0,0.1,"P-CCCD_minus_ACDC3",0.00441666666666607
"927",2,0,0.25,"P-CCCD_minus_ACDC3",-0.00106249999999997
"928",2,0,0.5,"P-CCCD_minus_ACDC3",-0.002529411764706
"929",2,0,0.75,"P-CCCD_minus_ACDC3",0
"930",2,0,1,"P-CCCD_minus_ACDC3",-0.00324999999999998
"931",2,0.25,0.1,"P-CCCD_minus_ACDC3",0.167104477611941
"932",2,0.25,0.25,"P-CCCD_minus_ACDC3",0.141786885245902
"933",2,0.25,0.5,"P-CCCD_minus_ACDC3",0.0832241379310349
"934",2,0.25,0.75,"P-CCCD_minus_ACDC3",0.021753846153846
"935",2,0.25,1,"P-CCCD_minus_ACDC3",0.00556756756756804
"936",2,0.5,0.1,"P-CCCD_minus_ACDC3",0.121528301886793
"937",2,0.5,0.25,"P-CCCD_minus_ACDC3",0.050094339622641
"938",2,0.5,0.5,"P-CCCD_minus_ACDC3",0.00700990099009902
"939",2,0.5,0.75,"P-CCCD_minus_ACDC3",-0.00277777777777699
"940",2,0.5,1,"P-CCCD_minus_ACDC3",-0.00449999999999906
"941",2,0.75,0.1,"P-CCCD_minus_ACDC3",0.01608
"942",2,0.75,0.25,"P-CCCD_minus_ACDC3",0.00772727272727203
"943",2,0.75,0.5,"P-CCCD_minus_ACDC3",-0.000407894736841996
"944",2,0.75,0.75,"P-CCCD_minus_ACDC3",-0.00155555555555598
"945",2,0.75,1,"P-CCCD_minus_ACDC3",0.003
"946",2,1,0.1,"P-CCCD_minus_ACDC3",-0.001
"947",2,1,0.25,"P-CCCD_minus_ACDC3",0
"948",2,1,0.5,"P-CCCD_minus_ACDC3",0
"949",2,1,0.75,"P-CCCD_minus_ACDC3",0
"950",2,1,1,"P-CCCD_minus_ACDC3",0
"951",3,0,0.1,"P-CCCD_minus_ACDC3",0
"952",3,0,0.25,"P-CCCD_minus_ACDC3",-4.16666666670507e-05
"953",3,0,0.5,"P-CCCD_minus_ACDC3",-0.000590909090909086
"954",3,0,0.75,"P-CCCD_minus_ACDC3",0
"955",3,0,1,"P-CCCD_minus_ACDC3",0.00138095238095204
"956",3,0.25,0.1,"P-CCCD_minus_ACDC3",0.185916666666666
"957",3,0.25,0.25,"P-CCCD_minus_ACDC3",0.122180327868853
"958",3,0.25,0.5,"P-CCCD_minus_ACDC3",0.051486486486487
"959",3,0.25,0.75,"P-CCCD_minus_ACDC3",0.0256421568627451
"960",3,0.25,1,"P-CCCD_minus_ACDC3",0.0154285714285709
"961",3,0.5,0.1,"P-CCCD_minus_ACDC3",0.062206896551724
"962",3,0.5,0.25,"P-CCCD_minus_ACDC3",0.021170454545454
"963",3,0.5,0.5,"P-CCCD_minus_ACDC3",0.00620512820512797
"964",3,0.5,0.75,"P-CCCD_minus_ACDC3",-0.00185416666666594
"965",3,0.5,1,"P-CCCD_minus_ACDC3",-0.00169999999999992
"966",3,0.75,0.1,"P-CCCD_minus_ACDC3",0.00303846153846099
"967",3,0.75,0.25,"P-CCCD_minus_ACDC3",-0.00223076923076904
"968",3,0.75,0.5,"P-CCCD_minus_ACDC3",-0.000599999999999934
"969",3,0.75,0.75,"P-CCCD_minus_ACDC3",-0.00073333333333303
"970",3,0.75,1,"P-CCCD_minus_ACDC3",-0.00139999999999996
"971",3,1,0.1,"P-CCCD_minus_ACDC3",0
"972",3,1,0.25,"P-CCCD_minus_ACDC3",0
"973",3,1,0.5,"P-CCCD_minus_ACDC3",-0.000333333333332964
"974",3,1,0.75,"P-CCCD_minus_ACDC3",0
"975",3,1,1,"P-CCCD_minus_ACDC3",0
"976",5,0,0.1,"P-CCCD_minus_ACDC3",0
"977",5,0,0.25,"P-CCCD_minus_ACDC3",0
"978",5,0,0.5,"P-CCCD_minus_ACDC3",-0.00161904761904796
"979",5,0,0.75,"P-CCCD_minus_ACDC3",-0.003470588235294
"980",5,0,1,"P-CCCD_minus_ACDC3",-0.00122222222222201
"981",5,0.25,0.1,"P-CCCD_minus_ACDC3",0.121741379310344
"982",5,0.25,0.25,"P-CCCD_minus_ACDC3",0.076542857142857
"983",5,0.25,0.5,"P-CCCD_minus_ACDC3",0.033140845070423
"984",5,0.25,0.75,"P-CCCD_minus_ACDC3",0.022795918367347
"985",5,0.25,1,"P-CCCD_minus_ACDC3",0.023928571428572
"986",5,0.5,0.1,"P-CCCD_minus_ACDC3",0.02746875
"987",5,0.5,0.25,"P-CCCD_minus_ACDC3",0.00809523809523793
"988",5,0.5,0.5,"P-CCCD_minus_ACDC3",0.00180000000000002
"989",5,0.5,0.75,"P-CCCD_minus_ACDC3",-0.000666666666666038
"990",5,0.5,1,"P-CCCD_minus_ACDC3",0.00149999999999995
"991",5,0.75,0.1,"P-CCCD_minus_ACDC3",-0.000857142857143001
"992",5,0.75,0.25,"P-CCCD_minus_ACDC3",-0.000666666666667037
"993",5,0.75,0.5,"P-CCCD_minus_ACDC3",-0.000166666666666981
"994",5,0.75,0.75,"P-CCCD_minus_ACDC3",0.000777777777777988
"995",5,0.75,1,"P-CCCD_minus_ACDC3",0
