"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"result" 1000 0 0.25 0.502708333333333 0.502708333333333 0.506041666666667 0.505729166666667 0.492916666666667 0.492083333333333
"result" 1000 0 0.25 0.495416666666667 0.494791666666667 0.500833333333333 0.505625 0.486041666666667 0.5059375
"result" 1000 0 0.25 0.502234042553191 0.505957446808511 0.491063829787234 0.497978723404255 0.493085106382979 0.498191489361702
"result" 1000 0 0.25 0.500952380952381 0.498690476190476 0.510357142857143 0.49952380952381 0.488571428571429 0.495595238095238
"result" 1000 0 0.25 0.498981481481481 0.500555555555556 0.496944444444444 0.492592592592593 0.515 0.488518518518519
"result" 1000 0 0.25 0.502647058823529 0.494705882352941 0.496470588235294 0.497156862745098 0.506372549019608 0.501764705882353
"result" 1000 0 0.25 0.501372549019608 0.506862745098039 0.508137254901961 0.497745098039216 0.500098039215686 0.502156862745098
"result" 1000 0 0.25 0.500096153846154 0.498942307692308 0.495384615384615 0.498653846153846 0.504423076923077 0.494711538461538
"result" 1000 0 0.25 0.498928571428571 0.504196428571429 0.501964285714286 0.495178571428571 0.498839285714286 0.502410714285714
"result" 1000 0 0.25 0.50030612244898 0.495714285714286 0.497244897959184 0.50765306122449 0.500918367346939 0.497448979591837
"result" 1000 0 0.25 0.5002 0.4937 0.506 0.4958 0.5013 0.4971
"result" 1000 0 0.25 0.4981 0.4855 0.5077 0.4989 0.4946 0.498
"result" 1000 0 0.25 0.504741379310345 0.489137931034483 0.500862068965517 0.498620689655172 0.504396551724138 0.502241379310345
"result" 1000 0 0.25 0.500957446808511 0.510425531914894 0.497446808510638 0.499148936170213 0.507978723404255 0.497127659574468
"result" 1000 0 0.25 0.500096153846154 0.510673076923077 0.493269230769231 0.502596153846154 0.501826923076923 0.498365384615385
"result" 1000 0 0.25 0.501944444444444 0.498055555555556 0.495185185185185 0.506759259259259 0.504537037037037 0.495462962962963
"result" 1000 0 0.25 0.498163265306122 0.49469387755102 0.493571428571429 0.49265306122449 0.499387755102041 0.497040816326531
"result" 1000 0 0.25 0.504583333333333 0.4925 0.496666666666667 0.497395833333333 0.504895833333333 0.500520833333333
"result" 1000 0 0.25 0.502156862745098 0.497647058823529 0.502450980392157 0.500098039215686 0.502352941176471 0.502352941176471
"result" 1000 0 0.25 0.4989 0.4949 0.5054 0.5023 0.4938 0.5069
"result" 1000 0 0.25 0.495462962962963 0.497407407407407 0.496851851851852 0.501481481481482 0.495185185185185 0.503148148148148
"result" 1000 0 0.25 0.496320754716981 0.488301886792453 0.515094339622642 0.505094339622641 0.500943396226415 0.503490566037736
"result" 1000 0 0.25 0.495431034482759 0.508362068965517 0.497068965517241 0.508275862068965 0.498706896551724 0.502241379310345
"result" 1000 0 0.25 0.494893617021277 0.502765957446809 0.497553191489362 0.511170212765957 0.501276595744681 0.504893617021277
"result" 1000 0 0.25 0.501132075471698 0.49688679245283 0.494433962264151 0.503962264150943 0.501509433962264 0.491792452830189
