"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"result" 1500 0 0.25 0.488725490196078 0.50078431372549 0.49656862745098 0.505686274509804 0.495882352941176 0.496764705882353
"result" 1500 0 0.25 0.498 0.499 0.507 0.4953 0.506 0.5112
"result" 1500 0 0.25 0.504509803921569 0.505098039215686 0.505882352941176 0.506274509803922 0.494019607843137 0.504411764705882
"result" 1500 0 0.25 0.504803921568627 0.495980392156863 0.501176470588235 0.495392156862745 0.494901960784314 0.509901960784314
"result" 1500 0 0.25 0.498571428571429 0.502755102040816 0.500204081632653 0.508775510204082 0.492959183673469 0.511734693877551
"result" 1500 0 0.25 0.498888888888889 0.505833333333333 0.500092592592593 0.491944444444444 0.497314814814815 0.501296296296296
"result" 1500 0 0.25 0.501785714285714 0.500625 0.490892857142857 0.491339285714286 0.5025 0.494375
"result" 1500 0 0.25 0.5034 0.4995 0.4902 0.514 0.4989 0.5004
"result" 1500 0 0.25 0.504711538461538 0.497788461538462 0.495384615384615 0.507307692307692 0.499903846153846 0.497788461538462
"result" 1500 0 0.25 0.498888888888889 0.500555555555556 0.506222222222222 0.504222222222222 0.501888888888889 0.501777777777778
"result" 1500 0 0.25 0.496181818181818 0.500545454545455 0.500090909090909 0.492909090909091 0.494636363636364 0.493636363636364
"result" 1500 0 0.25 0.498725490196078 0.505098039215686 0.506470588235294 0.516764705882353 0.508725490196078 0.498529411764706
"result" 1500 0 0.25 0.494913793103448 0.504655172413793 0.492241379310345 0.502155172413793 0.501379310344828 0.505
"result" 1500 0 0.25 0.496 0.5063 0.5013 0.5043 0.5067 0.4945
"result" 1500 0 0.25 0.503265306122449 0.500918367346939 0.499387755102041 0.494897959183673 0.497448979591837 0.501530612244898
"result" 1500 0 0.25 0.494705882352941 0.499411764705882 0.496372549019608 0.494901960784314 0.497647058823529 0.50156862745098
"result" 1500 0 0.25 0.501176470588235 0.499901960784314 0.491176470588235 0.49843137254902 0.492647058823529 0.49
"result" 1500 0 0.25 0.495865384615385 0.500769230769231 0.504326923076923 0.492980769230769 0.498653846153846 0.500288461538462
"result" 1500 0 0.25 0.495 0.503018867924528 0.499339622641509 0.495377358490566 0.482452830188679 0.500660377358491
"result" 1500 0 0.25 0.501057692307692 0.491442307692308 0.508942307692308 0.505673076923077 0.501923076923077 0.499038461538462
"result" 1500 0 0.25 0.490731707317073 0.495 0.498292682926829 0.493536585365854 0.500365853658537 0.481951219512195
"result" 1500 0 0.25 0.497 0.494727272727273 0.496090909090909 0.500363636363636 0.498363636363636 0.500818181818182
"result" 1500 0 0.25 0.503673469387755 0.501326530612245 0.492959183673469 0.495 0.49530612244898 0.494183673469388
"result" 1500 0 0.25 0.50530612244898 0.501530612244898 0.499183673469388 0.50734693877551 0.505612244897959 0.504285714285714
"result" 1500 0 0.25 0.500531914893617 0.500531914893617 0.485212765957447 0.501595744680851 0.500212765957447 0.505
"result" 1500 0 0.25 0.497843137254902 0.502549019607843 0.495882352941176 0.495294117647059 0.5 0.495196078431373
"result" 1500 0 0.25 0.500326086956522 0.493804347826087 0.5 0.497282608695652 0.502608695652174 0.498260869565217
"result" 1500 0 0.25 0.501603773584906 0.50377358490566 0.489056603773585 0.506037735849057 0.499811320754717 0.507358490566038
"result" 1500 0 0.25 0.501574074074074 0.500277777777778 0.503518518518518 0.507314814814815 0.502685185185185 0.497222222222222
"result" 1500 0 0.25 0.4998 0.496 0.4992 0.4992 0.5095 0.5068
"result" 1500 0 0.25 0.505 0.489081632653061 0.487959183673469 0.498673469387755 0.496224489795918 0.500918367346939
"result" 1500 0 0.25 0.496274509803922 0.501960784313725 0.49843137254902 0.491764705882353 0.498627450980392 0.503529411764706
"result" 1500 0 0.25 0.499528301886792 0.499339622641509 0.501981132075472 0.504056603773585 0.493207547169811 0.492169811320755
"result" 1500 0 0.25 0.500909090909091 0.505909090909091 0.485568181818182 0.507045454545455 0.510340909090909 0.512159090909091
"result" 1500 0 0.25 0.500762711864407 0.500338983050847 0.49593220338983 0.506779661016949 0.49635593220339 0.502966101694915
"result" 1500 0 0.25 0.502608695652174 0.501195652173913 0.498260869565217 0.510978260869565 0.497608695652174 0.496630434782609
"result" 1500 0 0.25 0.503333333333333 0.500087719298246 0.503684210526316 0.498508771929825 0.494824561403509 0.500087719298246
"result" 1500 0 0.25 0.495462962962963 0.501666666666667 0.483055555555556 0.497407407407407 0.494907407407407 0.496574074074074
"result" 1500 0 0.25 0.493611111111111 0.491388888888889 0.500648148148148 0.501388888888889 0.505185185185185 0.496296296296296
"result" 1500 0 0.25 0.496274509803922 0.501764705882353 0.500196078431373 0.505490196078431 0.490490196078431 0.491274509803922
"result" 1500 0 0.25 0.501428571428571 0.504285714285714 0.504591836734694 0.49234693877551 0.50530612244898 0.50265306122449
"result" 1500 0 0.25 0.501555555555556 0.488 0.495666666666667 0.504111111111111 0.503888888888889 0.501333333333333
"result" 1500 0 0.25 0.4985 0.4917 0.4993 0.5022 0.499 0.4996
"result" 1500 0 0.25 0.49906976744186 0.495348837209302 0.504418604651163 0.507441860465116 0.507558139534884 0.492209302325581
"result" 1500 0 0.25 0.503414634146341 0.499634146341463 0.502317073170732 0.500731707317073 0.501829268292683 0.490121951219512
"result" 1500 0 0.25 0.497127659574468 0.497872340425532 0.502446808510638 0.50468085106383 0.508510638297872 0.501063829787234
"result" 1500 0 0.25 0.499791666666667 0.496875 0.5009375 0.4878125 0.5084375 0.512708333333333
"result" 1500 0 0.25 0.494021739130435 0.49695652173913 0.485217391304348 0.513586956521739 0.504565217391304 0.504782608695652
"result" 1500 0 0.25 0.499148936170213 0.50031914893617 0.491276595744681 0.50063829787234 0.501170212765957 0.494893617021277
"result" 1500 0 0.25 0.501041666666667 0.502083333333333 0.5015625 0.494895833333333 0.499479166666667 0.501770833333333
"result" 1500 0 0.25 0.501904761904762 0.494880952380952 0.5025 0.48952380952381 0.497738095238095 0.504642857142857
"result" 1500 0 0.25 0.499651162790698 0.501162790697674 0.501279069767442 0.492790697674419 0.498255813953488 0.513488372093023
"result" 1500 0 0.25 0.49421568627451 0.50421568627451 0.497843137254902 0.506078431372549 0.49078431372549 0.492352941176471
"result" 1500 0 0.25 0.503684210526316 0.511228070175439 0.505 0.500526315789474 0.498684210526316 0.500789473684211
"result" 1500 0 0.25 0.49377358490566 0.497830188679245 0.503962264150943 0.507075471698113 0.505188679245283 0.495283018867925
