"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 0.998333333333333 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 0.995555555555556 1 1 1 1
"result" 250 0.25 0.25 1 0.993846153846154 0.998461538461539 1 1 1
"result" 250 0.25 0.25 1 0.994 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 0.991666666666667 0.996 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 0.9975 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 0.9975 1 0.9975 0.9975 0.9975 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 0.9975 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 0.9975 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 0.9975 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 0.9975
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
"result" 250 0.25 0.25 1 1 1 1 1 1
